OwnerName,OwnerContactInfo,ApartmentAddress,ApartmentPrice,ApartmentRoomCount,PhotoUrl,PhotoDescription,ReviewName,ReviewText,RatingScore,ReservationStartDate,ReservationEndDate,ReservationStatus
Owner 40,owner40@mail.test,"23 Main Street, Apt 128",310936,5,https://img.example.com/apartments/128/photo-4.jpg,Living room view #7,Reviewer 1835,Review text sample #1835,5,2026-07-14,2026-07-26,Pending
Owner 102,owner102@mail.test,"35 Main Street, Apt 228",249149,4,https://img.example.com/apartments/228/photo-1.jpg,Living room view #18,Reviewer 251,Review text sample #251,2,2026-01-31,2026-02-07,Completed
Owner 65,owner65@mail.test,"222 Main Street, Apt 277",89316,1,https://img.example.com/apartments/277/photo-1.jpg,Living room view #15,Reviewer 1635,Review text sample #1635,1,2025-11-21,2025-11-24,Cancelled
Owner 67,owner67@mail.test,"176 Main Street, Apt 44",151031,3,https://img.example.com/apartments/44/photo-1.jpg,Living room view #19,Reviewer 599,Review text sample #599,4,2026-02-04,2026-02-16,Pending
Owner 19,owner19@mail.test,"72 Main Street, Apt 448",391288,2,https://img.example.com/apartments/448/photo-5.jpg,Living room view #3,Reviewer 1579,Review text sample #1579,4,2026-06-07,2026-06-08,Confirmed
Owner 65,owner65@mail.test,"237 Main Street, Apt 295",111670,4,https://img.example.com/apartments/295/photo-3.jpg,Living room view #11,Reviewer 1401,Review text sample #1401,1,2026-06-19,2026-06-22,Confirmed
Owner 203,owner203@mail.test,"255 Main Street, Apt 88",332479,2,https://img.example.com/apartments/88/photo-5.jpg,Living room view #12,Reviewer 1869,Review text sample #1869,5,2026-02-28,2026-03-08,Pending
Owner 237,owner237@mail.test,"245 Main Street, Apt 137",314925,1,https://img.example.com/apartments/137/photo-2.jpg,Living room view #19,Reviewer 170,Review text sample #170,1,2026-05-19,2026-05-31,Pending
Owner 221,owner221@mail.test,"299 Main Street, Apt 180",352649,3,https://img.example.com/apartments/180/photo-5.jpg,Living room view #8,Reviewer 643,Review text sample #643,1,2026-01-27,2026-02-07,Completed
Owner 76,owner76@mail.test,"134 Main Street, Apt 196",160871,4,https://img.example.com/apartments/196/photo-4.jpg,Living room view #11,Reviewer 1295,Review text sample #1295,5,2025-11-26,2025-12-02,Completed
Owner 177,owner177@mail.test,"266 Main Street, Apt 195",50432,5,https://img.example.com/apartments/195/photo-1.jpg,Living room view #14,Reviewer 1411,Review text sample #1411,3,2026-04-13,2026-04-25,Pending
Owner 133,owner133@mail.test,"127 Main Street, Apt 192",116116,3,https://img.example.com/apartments/192/photo-2.jpg,Living room view #5,Reviewer 1023,Review text sample #1023,3,2026-07-13,2026-07-25,Confirmed
